source;title;company;location;workload;published;url;scraped_at
LinkedIn;Berater(in) Privatkunden (Individual), 80 - 100%;Thurgauer Kantonalbank;Sulgen, Thurgau, Switzerland;N/A;2026-04-01;https://ch.linkedin.com/jobs/view/berater-in-privatkunden-individual-80-100%25-at-thurgauer-kantonalbank-4392850336;2026-04-01T10:03:59.825225
LinkedIn;International Private Bank, VP Private Banker, CEE;JPMorganChase;Zurich, Zurich, Switzerland;N/A;2026-04-01;https://ch.linkedin.com/jobs/view/international-private-bank-vp-private-banker-cee-at-jpmorganchase-4394313605;2026-04-01T10:04:22.544784
LinkedIn;Professional Business Analyst (m/w/d) - Technical Compliance & Asset Management (60-100%) (Ref.Nr.: 46462);Wavestone;Bern, Berne, Switzerland;N/A;2026-04-01;https://ch.linkedin.com/jobs/view/professional-business-analyst-m-w-d-technical-compliance-asset-management-60-100%25-ref-nr-46462-at-wavestone-4396452673;2026-04-01T10:04:47.271371
LinkedIn;HR Business Partner:in;Zürcher Kantonalbank;Zurich, Zurich, Switzerland;N/A;2026-04-01;https://ch.linkedin.com/jobs/view/hr-business-partner-in-at-z%C3%BCrcher-kantonalbank-4396456437;2026-04-01T10:05:01.117891
LinkedIn;M&A Capital Raiser;Wealthrone Capital;Zurich, Switzerland;N/A;2026-04-01;https://ch.linkedin.com/jobs/view/m-a-capital-raiser-at-wealthrone-capital-4396441342;2026-04-01T10:05:52.511488
LinkedIn;Business Consultant Bereichsentwicklung Privat- und Geschäftskunden 60 – 80%;St. Galler Kantonalbank AG;St Gallen, St Gallen, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/business-consultant-bereichsentwicklung-privat-und-gesch%C3%A4ftskunden-60-%E2%80%93-80%25-at-st-galler-kantonalbank-ag-4392193944;2026-04-01T10:03:27.462387
LinkedIn;Business Analyst - Portfolio Risk Management;K&K Talents;Geneva, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/business-analyst-portfolio-risk-management-at-k-k-talents-4393581367;2026-04-01T10:03:32.491783
LinkedIn;Business Analyst - Banking & Payments;ALTEN;Lugano, Ticino, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/business-analyst-banking-payments-at-alten-4384460623;2026-04-01T10:03:36.333224
LinkedIn;Senior Kundenberater/in Institutionelle Kunden;Schwyzer Kantonalbank;Schwyz, Schwyz, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/senior-kundenberater-in-institutionelle-kunden-at-schwyzer-kantonalbank-4392411459;2026-04-01T10:03:59.825332
LinkedIn;Financial Planning & Analysis manager, PB Emerging Markets (f/m/x);Deutsche Bank;Geneva, Geneva, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/financial-planning-analysis-manager-pb-emerging-markets-f-m-x-at-deutsche-bank-4383340010;2026-04-01T10:04:19.055064
LinkedIn;Trainee-Programm Multi-Asset Management & Private Markets (w/m/d);die Mobiliar;Bern, Berne, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/trainee-programm-multi-asset-management-private-markets-w-m-d-at-die-mobiliar-4382049421;2026-04-01T10:04:19.055753
LinkedIn;Private Markets Secondary Senior Investment Manager;Indosuez Wealth Management;Geneva, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/private-markets-secondary-senior-investment-manager-at-indosuez-wealth-management-4392446326;2026-04-01T10:04:25.347873
LinkedIn;Associate / Investment Manager, European Small-Cap Buyout Fund, Zurich, Switzerland;PER;Zurich, Zurich, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/associate-investment-manager-european-small-cap-buyout-fund-zurich-switzerland-at-per-4382216461;2026-04-01T10:04:31.389223
LinkedIn;Responsable de Secteur Finance & Administration 60-80% (f/h/d);Michael Page;La Neuveville, Berne, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/responsable-de-secteur-finance-administration-60-80%25-f-h-d-at-michael-page-4393263935;2026-04-01T10:04:36.258489
LinkedIn;Leitung Finanzwesen (m/w/d);Rocken®;Lucerne, Lucerne, Switzerland;N/A;2026-03-31;https://ch.linkedin.com/jobs/view/leitung-finanzwesen-m-w-d-at-rocken%C2%AE-4392406324;2026-04-01T10:04:36.258846
